EventID,ParticleName,Energy_MeV,PosX_m,PosY_m,PosZ_m,Theta_deg,Phi_deg,MomX,MomY,MomZ
89,proton,517.479357,269.718245,1.657375,-92.000000,-1.742605,90.701061,-90.100419,-0.001753,-0.999924,-0.012236
392,proton,515.802587,118.872193,-1.713554,-92.000000,1.009574,88.583253,-90.085104,-0.001485,-0.999693,0.024724
291,proton,514.547935,124.172789,2.152482,-92.000000,-2.648951,89.486122,-90.208901,-0.003646,-0.999953,0.008969
393,proton,513.860219,124.265182,-0.490489,-92.000000,-1.506349,90.297017,-89.196056,0.014031,-0.999888,-0.005184
189,proton,513.498807,122.222694,1.788294,-92.000000,-1.135754,90.795675,-90.278869,-0.004867,-0.999892,-0.013887
292,proton,515.286879,349.086625,-0.095603,-92.000000,2.393973,90.369150,-89.075846,0.016128,-0.999849,-0.006443
190,proton,514.489906,123.847576,-1.644798,-92.000000,0.999917,89.437851,-89.728813,0.004733,-0.999941,0.009811
294,proton,514.915260,121.369845,1.782284,-92.000000,0.171818,90.618742,-90.335101,-0.005848,-0.999925,-0.010799
395,proton,425.741443,157.917050,2.366789,-92.000000,-1.642675,102.894424,-79.625433,0.175541,-0.958847,-0.223155
94,proton,518.575857,123.031165,-2.058167,-92.000000,-1.217664,89.410767,-91.084491,-0.018926,-0.999768,0.010284
295,proton,511.114152,122.182493,-2.454769,-92.000000,-0.502306,90.125160,-89.629949,0.006459,-0.999977,-0.002184
95,proton,516.959141,119.461920,-0.282351,-92.000000,1.347412,89.583686,-89.642109,0.006246,-0.999954,0.007266
296,proton,514.361708,118.891305,1.214973,-92.000000,-1.492574,89.916546,-89.418519,0.010149,-0.999947,0.001457
192,proton,517.038606,332.167159,0.501721,-92.000000,-0.256367,89.770827,-90.585563,-0.010220,-0.999940,0.004000
396,proton,515.943823,252.606370,1.379410,-92.000000,-0.128034,89.437432,-88.801083,0.020923,-0.999733,0.009819
297,proton,513.820321,120.619522,2.915022,-92.000000,-0.393576,91.481952,-89.994954,0.000088,-0.999666,-0.025862
397,proton,519.021111,139.263819,-1.935338,-92.000000,1.129548,89.872157,-90.275269,-0.004804,-0.999986,0.002231
398,proton,517.267059,272.811871,-0.965185,-92.000000,-2.119769,89.505624,-89.335578,0.011596,-0.999896,0.008628
98,proton,515.770460,76.365905,2.046105,-92.000000,2.573208,89.534542,-89.265993,0.012810,-0.999885,0.008124
399,proton,515.368610,124.187285,-2.222824,-92.000000,-2.484469,96.569816,-95.023807,-0.086995,-0.989617,-0.114414
99,proton,517.435005,122.177010,0.584619,-92.000000,0.612632,90.809223,-89.470127,0.009247,-0.999858,-0.014123
500,proton,513.466698,128.318752,-1.084297,-92.000000,1.407747,89.733049,-90.769744,-0.013434,-0.999899,0.004659
402,proton,513.553378,22.456989,-2.013373,-92.000000,-1.842243,90.368375,-90.406808,-0.007100,-0.999954,-0.006429
601,proton,512.457737,122.794630,-1.039880,-92.000000,-2.203025,90.262598,-89.749118,0.004379,-0.999980,-0.004583
502,proton,514.997374,123.641082,1.687709,-92.000000,-0.464840,89.098273,-90.588552,-0.010271,-0.999823,0.015737
198,proton,515.829044,204.755725,2.728354,-92.000000,-0.768179,90.281959,-89.865295,0.002351,-0.999985,-0.004921
403,proton,511.937316,327.043723,1.724887,-92.000000,-1.164311,90.753086,-88.734867,0.022077,-0.999670,-0.013143
700,proton,516.553459,119.098297,-2.584162,-92.000000,-1.599872,89.392627,-90.005665,-0.000099,-0.999944,0.010600
